Filename,Line,Size (bytes),Count
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,64,1512320,4726
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,558,175768,3367
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/lines.py,389,147936,67
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/text.py,314,112608,51
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,193,101760,2120
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/internals/concat.py,177,84832,20
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,182,72000,3000
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,180,71952,2998
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,67,67520,1055
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,505,60072,1066
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,31,58996,2107
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,55,56496,2354
/Users/elifohri/Documents/mobile-env/mobile_env/core/job_generator.py,44,56256,2344
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,198,54896,622
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,103,52056,2169
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,121,51840,2160
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,120,51840,2160
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/tracemalloc.py,498,51600,1067
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,279,40208,353
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/indexes/base.py,670,39896,497
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/transforms.py,122,37216,567
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,188,33480,155
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/matplotlib/cbook.py,182,32232,617
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/threading.py,364,32208,61
/Users/elifohri/Library/Python/3.9/lib/python/site-packages/pandas/core/dtypes/concat.py,78,32160,4
/Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/copy.py,230,27648,48
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,173,25984,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/data_transfer.py,172,25984,1
/Users/elifohri/Documents/mobile-env/mobile_env/core/base.py,1314,24800,200
