Step 1.0 timing breakdown: {'connect_bs': 6.699562072753906e-05, 'update_connections': 0.0023899078369140625, 'generate_jobs': 0.01864314079284668, 'action_transformation': 5.0067901611328125e-06, 'apply_actions': 6.198883056640625e-05, 'update_datarates': 0.003949880599975586, 'macro_datarates': 3.528594970703125e-05, 'data_transfer': 0.015572786331176758, 'data_processing': 0.00657200813293457, 'check_delays': 0.0022368431091308594, 'compute_utilities': 0.0001690387725830078, 'compute_rewards': 0.003459930419921875, 'update_movements': 6.604194641113281e-05, 'update_active': 1.0967254638671875e-05, 'compute_observation': 0.0001537799835205078, 'total': 0.053563833236694336}
Step 2.0 timing breakdown: {'connect_bs': 9.274482727050781e-05, 'update_connections': 0.0011019706726074219, 'generate_jobs': 0.013067007064819336, 'action_transformation': 4.76837158203125e-06, 'apply_actions': 5.626678466796875e-05, 'update_datarates': 0.003946065902709961, 'macro_datarates': 3.4809112548828125e-05, 'data_transfer': 0.014034271240234375, 'data_processing': 0.006129026412963867, 'check_delays': 0.0016548633575439453, 'compute_utilities': 0.0001590251922607422, 'compute_rewards': 0.003885030746459961, 'update_movements': 6.079673767089844e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.0001468658447265625, 'total': 0.044507741928100586}
Step 3.0 timing breakdown: {'connect_bs': 6.890296936035156e-05, 'update_connections': 0.0008900165557861328, 'generate_jobs': 0.014915943145751953, 'action_transformation': 3.0994415283203125e-06, 'apply_actions': 5.2928924560546875e-05, 'update_datarates': 0.003895998001098633, 'macro_datarates': 3.314018249511719e-05, 'data_transfer': 0.015540122985839844, 'data_processing': 0.006732940673828125, 'check_delays': 0.0016431808471679688, 'compute_utilities': 0.00015926361083984375, 'compute_rewards': 0.0038399696350097656, 'update_movements': 6.29425048828125e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.0001571178436279297, 'total': 0.04813218116760254}
Step 4.0 timing breakdown: {'connect_bs': 7.915496826171875e-05, 'update_connections': 0.0009951591491699219, 'generate_jobs': 0.014059066772460938, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 6.008148193359375e-05, 'update_datarates': 0.0039119720458984375, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.015858888626098633, 'data_processing': 0.009439945220947266, 'check_delays': 0.001466989517211914, 'compute_utilities': 0.0001590251922607422, 'compute_rewards': 0.0075168609619140625, 'update_movements': 7.414817810058594e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00015306472778320312, 'total': 0.05398225784301758}
Step 5.0 timing breakdown: {'connect_bs': 6.818771362304688e-05, 'update_connections': 0.0009789466857910156, 'generate_jobs': 0.013883829116821289, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.602836608886719e-05, 'update_datarates': 0.003871917724609375, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.013357162475585938, 'data_processing': 0.007950782775878906, 'check_delays': 0.001631021499633789, 'compute_utilities': 0.00015807151794433594, 'compute_rewards': 0.003779888153076172, 'update_movements': 6.198883056640625e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014781951904296875, 'total': 0.046118974685668945}
Step 6.0 timing breakdown: {'connect_bs': 7.009506225585938e-05, 'update_connections': 0.001016855239868164, 'generate_jobs': 0.013080120086669922, 'action_transformation': 3.814697265625e-06, 'apply_actions': 6.604194641113281e-05, 'update_datarates': 0.004001140594482422, 'macro_datarates': 3.5762786865234375e-05, 'data_transfer': 0.014888286590576172, 'data_processing': 0.008385658264160156, 'check_delays': 0.0013430118560791016, 'compute_utilities': 0.0001621246337890625, 'compute_rewards': 0.004277944564819336, 'update_movements': 6.222724914550781e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.0001430511474609375, 'total': 0.04767203330993652}
Step 7.0 timing breakdown: {'connect_bs': 7.081031799316406e-05, 'update_connections': 0.0010292530059814453, 'generate_jobs': 0.01410675048828125, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.888938903808594e-05, 'update_datarates': 0.0038487911224365234, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.014807939529418945, 'data_processing': 0.007675886154174805, 'check_delays': 0.001474142074584961, 'compute_utilities': 0.00016617774963378906, 'compute_rewards': 0.004264354705810547, 'update_movements': 6.127357482910156e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00014281272888183594, 'total': 0.04787898063659668}
Step 8.0 timing breakdown: {'connect_bs': 7.224082946777344e-05, 'update_connections': 0.0008928775787353516, 'generate_jobs': 0.014384746551513672, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.602836608886719e-05, 'update_datarates': 0.003831148147583008, 'macro_datarates': 3.600120544433594e-05, 'data_transfer': 0.014642953872680664, 'data_processing': 0.007288932800292969, 'check_delays': 0.0015821456909179688, 'compute_utilities': 0.00015926361083984375, 'compute_rewards': 0.003772735595703125, 'update_movements': 6.580352783203125e-05, 'update_active': 8.344650268554688e-06, 'compute_observation': 0.00015592575073242188, 'total': 0.04707813262939453}
Step 9.0 timing breakdown: {'connect_bs': 6.67572021484375e-05, 'update_connections': 0.0011801719665527344, 'generate_jobs': 0.0135498046875, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 6.604194641113281e-05, 'update_datarates': 0.003919124603271484, 'macro_datarates': 3.314018249511719e-05, 'data_transfer': 0.014369726181030273, 'data_processing': 0.008759021759033203, 'check_delays': 0.0014519691467285156, 'compute_utilities': 0.0001621246337890625, 'compute_rewards': 0.004970073699951172, 'update_movements': 6.008148193359375e-05, 'update_active': 7.152557373046875e-06, 'compute_observation': 0.00014090538024902344, 'total': 0.04886794090270996}
Step 10.0 timing breakdown: {'connect_bs': 6.985664367675781e-05, 'update_connections': 0.0008897781372070312, 'generate_jobs': 0.01270294189453125, 'action_transformation': 5.245208740234375e-06, 'apply_actions': 5.602836608886719e-05, 'update_datarates': 0.0038461685180664062, 'macro_datarates': 3.5762786865234375e-05, 'data_transfer': 0.013442039489746094, 'data_processing': 0.006663799285888672, 'check_delays': 0.0015211105346679688, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.0030379295349121094, 'update_movements': 6.198883056640625e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.0001468658447265625, 'total': 0.042775869369506836}
Step 11.0 timing breakdown: {'connect_bs': 6.771087646484375e-05, 'update_connections': 0.0011951923370361328, 'generate_jobs': 0.0134429931640625, 'action_transformation': 5.0067901611328125e-06, 'apply_actions': 5.412101745605469e-05, 'update_datarates': 0.0038208961486816406, 'macro_datarates': 3.2901763916015625e-05, 'data_transfer': 0.014110088348388672, 'data_processing': 0.00807499885559082, 'check_delays': 0.001336812973022461, 'compute_utilities': 0.00015783309936523438, 'compute_rewards': 0.00440216064453125, 'update_movements': 6.29425048828125e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00014591217041015625, 'total': 0.04703783988952637}
Step 12.0 timing breakdown: {'connect_bs': 6.699562072753906e-05, 'update_connections': 0.0012400150299072266, 'generate_jobs': 0.013319015502929688, 'action_transformation': 4.76837158203125e-06, 'apply_actions': 5.626678466796875e-05, 'update_datarates': 0.003876209259033203, 'macro_datarates': 3.266334533691406e-05, 'data_transfer': 0.01462101936340332, 'data_processing': 0.007767915725708008, 'check_delays': 0.0014009475708007812, 'compute_utilities': 0.0001583099365234375, 'compute_rewards': 0.004453897476196289, 'update_movements': 5.984306335449219e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.00014090538024902344, 'total': 0.0473322868347168}
Step 13.0 timing breakdown: {'connect_bs': 7.224082946777344e-05, 'update_connections': 0.0010442733764648438, 'generate_jobs': 0.01309823989868164, 'action_transformation': 5.0067901611328125e-06, 'apply_actions': 5.602836608886719e-05, 'update_datarates': 0.003947019577026367, 'macro_datarates': 3.4809112548828125e-05, 'data_transfer': 0.013520002365112305, 'data_processing': 0.005761861801147461, 'check_delays': 0.0015568733215332031, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.003634929656982422, 'update_movements': 6.318092346191406e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00014495849609375, 'total': 0.04323720932006836}
Step 14.0 timing breakdown: {'connect_bs': 6.508827209472656e-05, 'update_connections': 0.0013768672943115234, 'generate_jobs': 0.012209177017211914, 'action_transformation': 4.76837158203125e-06, 'apply_actions': 5.507469177246094e-05, 'update_datarates': 0.0039789676666259766, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.013895988464355469, 'data_processing': 0.005450010299682617, 'check_delays': 0.0017921924591064453, 'compute_utilities': 0.00015687942504882812, 'compute_rewards': 0.0024361610412597656, 'update_movements': 6.29425048828125e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014591217041015625, 'total': 0.04179573059082031}
Step 15.0 timing breakdown: {'connect_bs': 6.794929504394531e-05, 'update_connections': 0.001119852066040039, 'generate_jobs': 0.012451171875, 'action_transformation': 8.106231689453125e-06, 'apply_actions': 5.698204040527344e-05, 'update_datarates': 0.0039010047912597656, 'macro_datarates': 3.695487976074219e-05, 'data_transfer': 0.013602018356323242, 'data_processing': 0.007928133010864258, 'check_delays': 0.0014390945434570312, 'compute_utilities': 0.0001552104949951172, 'compute_rewards': 0.0036039352416992188, 'update_movements': 6.079673767089844e-05, 'update_active': 7.867813110351562e-06, 'compute_observation': 0.00014090538024902344, 'total': 0.044706106185913086}
Step 16.0 timing breakdown: {'connect_bs': 6.890296936035156e-05, 'update_connections': 0.0010600090026855469, 'generate_jobs': 0.013017892837524414, 'action_transformation': 4.0531158447265625e-06, 'apply_actions': 5.698204040527344e-05, 'update_datarates': 0.0037970542907714844, 'macro_datarates': 3.504753112792969e-05, 'data_transfer': 0.01358795166015625, 'data_processing': 0.0068836212158203125, 'check_delays': 0.0015039443969726562, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.003656148910522461, 'update_movements': 6.29425048828125e-05, 'update_active': 8.106231689453125e-06, 'compute_observation': 0.00014710426330566406, 'total': 0.04418182373046875}
Step 17.0 timing breakdown: {'connect_bs': 7.176399230957031e-05, 'update_connections': 0.0013430118560791016, 'generate_jobs': 0.012946128845214844, 'action_transformation': 3.814697265625e-06, 'apply_actions': 5.7220458984375e-05, 'update_datarates': 0.003954172134399414, 'macro_datarates': 3.2901763916015625e-05, 'data_transfer': 0.014117240905761719, 'data_processing': 0.008033990859985352, 'check_delays': 0.0013489723205566406, 'compute_utilities': 0.00016498565673828125, 'compute_rewards': 0.004291057586669922, 'update_movements': 6.008148193359375e-05, 'update_active': 6.9141387939453125e-06, 'compute_observation': 0.0001430511474609375, 'total': 0.046704769134521484}
Step 18.0 timing breakdown: {'connect_bs': 6.794929504394531e-05, 'update_connections': 0.0012631416320800781, 'generate_jobs': 0.013567924499511719, 'action_transformation': 3.814697265625e-06, 'apply_actions': 6.198883056640625e-05, 'update_datarates': 0.004006147384643555, 'macro_datarates': 4.00543212890625e-05, 'data_transfer': 0.014446735382080078, 'data_processing': 0.008900165557861328, 'check_delays': 0.0014600753784179688, 'compute_utilities': 0.0001609325408935547, 'compute_rewards': 0.003782987594604492, 'update_movements': 6.699562072753906e-05, 'update_active': 9.298324584960938e-06, 'compute_observation': 0.00015091896057128906, 'total': 0.04812192916870117}
